Nested Sampling Global Log-Evidence           :   -0.229210885527334938E+03  +/-    0.241132038041655450E+00
Nested Importance Sampling Global Log-Evidence:   -0.229263793747523323E+03  +/-    0.242725114745198159E-01

Dim No.       Mean        Sigma
   1   -0.156266504075897972E+01    0.100803737323336418E-01
   2    0.269052024710132454E+01    0.169177326643939335E-01
   3   -0.771231164653328860E+00    0.630145625860453751E-02

Maximum Likelihood Parameters
Dim No.        Parameter
   1   -0.156124452582949047E+01
   2    0.268778589987727745E+01
   3   -0.770357679337072554E+00

MAP Parameters
Dim No.        Parameter
   1   -0.156124452582949047E+01
   2    0.268778589987727745E+01
   3   -0.770357679337072554E+00
