Nested Sampling Global Log-Evidence           :   -0.295619389020202675E+03  +/-    0.204888398238772668E+00
Nested Importance Sampling Global Log-Evidence:   -0.295843685900309481E+03  +/-    0.196136937468348940E-01

Dim No.       Mean        Sigma
   1   -0.156179863843326427E+01    0.101683864891227091E-01
   2    0.233107475504589834E+01    0.989576236214648880E-02
   3    0.235282650512550795E+01    0.147362674829877721E-01

Maximum Likelihood Parameters
Dim No.        Parameter
   1   -0.156091735700444945E+01
   2    0.233024071545512879E+01
   3    0.235172695316177638E+01

MAP Parameters
Dim No.        Parameter
   1   -0.156091735700444945E+01
   2    0.233024071545512879E+01
   3    0.235172695316177638E+01
